Dsp1
Cdk1
Mink
vih
Det
mei-38
Top2
Ndc80
Cks30A
Klp59D
Klp68D
Kif3C
Klp3A
Kif19A
tacc
Klp67A
glu
CycB
CycB3
CycA
aurA
BubR1
Klp61F
Mapmodulin
Klp64D
Klp59C
sub
pav
fzr2
Jupiter
fzy
fzr
stg
Klp10A
sub
Cap-D2
mars
nod
aust
pbl
pav
Nek2
aurB
scra
msps
cana
mud
