Mcm5
PCNA
Ts
Fen1
Mcm2
dpa
RnrL
Mcm3
Psf2
Mcm6
CG4078
l(2)dtl
DNApol-alpha50
RfC4
RPA2
Cdk2
Orc1
Blm
CycE
DNApol-alpha180
Pol32
spel1
spn-A
RnrS
CDC45L
Cdc6
tos
CG10336
CG11788
Usp1
